8,Animals,Back to December,Bad Guy,Bad Luck,Better,Blank Space,Bury a Friend,Change,Come Out and Play,Delicate,Everything Has Changed,Fearless,Girls Like you,Gorgeous,Harder to Breathe,Idontwannabeyouanymore,Ilomilo,Learn to Fly,Listen Before i Go,Location,Look What you Made Me Do,Love Story,Love Yourself,Me!,Mistletoe,Moves Like Jagger,My Strange Addiction,Ocean Eyes,Our Song,Right Back,Safe & Sound,Say Something,She will be Loved,Should've Said No,Sorry,Speak Now,Sugar,Suncity,Sunday Morning,Talk,Teardrops on My Guitar,That Should be Me,Toxic,Vertigo,Wait,Walk,White Horse,Wildest Dreams,Wish you Were Gay,Won't Go Home without you,Xanny,Young Dumb & Broke,all the Good Girls Go to Hell,i Love you,when the Party's over,you Belong with Me,you Need to Calm Down,you Should See Me in a Crown
,,C,,Dm,G,C,,,,Am,,G,Am,C,C,C,,C,C,,Am,G,C,F,F,,,,G,Am,F,D,,,,,,,,Em,G,F,,Dm,F,B,C,,,G,C,,C,G,G,D#,,
,,G,,Am,Em,Am,,,,F,,Dm,F,Am,Dm,G,,C,F,,F,Am,,C,C,,,,Dm,C,C,Am,,,,,,,,Dm,C,Dm,,C,,Fm#,G,,,C,F#,,Am,Am,C,A7,,
,,C,,F,F,Dm,,,,C,,F,C,F,Am#,Am,,C,C,,C,C,,C,G,,,,F,F,G,C,,,,,,,,C,G,Am,,Gm,,Am,D,,,Am,Dm,,F,C,Am,A7,,
,,C,,Am,Am,F,,,,Dm,,C,G,G,B,B,,,Am,,,F,,G,Am,,,,C,C,F,G,,,,,,,,Em,Am,F,,Dm,,C,C,,,F#,G,,Dm,F,Em,F,,
,,Em,,G,G,C,,,,Am,,G,Am,C,Dm,C,,,Dm,,,G,,Dm,G,,,,G,Am,C,D,,,,,,,,Dm,F,C,,C,,C,F,,,F,Am,,C,C,G,Cm,,
,,F,,C,Em,C,,,,F,,A7,F,Am,Am#,G,,,G,,,Am,,F,C,,,,Dm,C,G,Am,,,,,,,,Em,C,C,,C,,B,Em,,,G,Bb,,Am,F,C,D#,,
,,C,,F,F,Am,,,,C,,C,G,F,B,Am,,,C,,,F,,Dm,G,,,,F,F,,C,,,,,,,,Dm,G,C,,A7,,Fm#,D,,,C,C,,F,C,Am,Cm,,
,,G,,F,Am,Dm,,,,Dm,,Dm,Am,G,Am#,D,,,F,,,G,,F,Am,,,,C,C,,G,,,,,,,,C,C,F,,Dm,,Am,C,,,Am,F#,,Dm,F,Em,D#,,
,,C,,Am,G,F,,,,Am,,C,F,F,Dm,C,,,Dm,,,Am,,C,F,,,,G,Am,,D,,,,,,,,Em,G,Fm,,C,,C,G,,,F#,Dm,,C,C,G,A7,,
,,C,,C,Em,C,,,,F,,F,C,Am,Am#,B,,,G,,,C,,G,C,,,,Dm,C,,Am,,,,,,,,Dm,,C,,Gm,,C,D,,,F,G,,Am,F,C,F,,
,,Em,,Dm,F,Am,,,,,,G,G,G,B,Em,,,C,,,F,,Dm,G,,,,F,F,,C,,,,,,,,Em,,F,,Dm,,B,C,,,G,Am,,F,Dm,Am,Cm,,
,,F,,Am,Am,Dm,,,,,,A7,Am,Dm,Dm,C,,,F,,,G,,F,Am,,,,C,C,,G,,,,,,,,Dm,,Dm,,C,,Fm#,G,,,C,Bb,,Dm,G,Em,D#,,
,,C,,F,G,F,,,,,,C,F,F,Dm,G,,,Dm,,,Am,,C,F,,,,G,Am,,D,,,,,,,,C,,Am,,C,,Am,D,,,Am,C,,C,Am,G,A7,,
,,G,,Am,Em,C,,,,,,Dm,C,Am,C#,Am,,,G,,,C,,G,C,,,,Dm,C,,Am,,,,,,,,Em,,F,,A7,,C,C,,,F#,F#,,Am,C,C,F,,
,,C,,G,,C,,,,,,C,G,G,C#,B,,,C,,,G,,Dm,G,,,,F,F,,C,,,,,,,,Dm,,C,,Dm,,,F,,,F,Dm,,F,F,Am,Cm,,
,,C,,C,,Am,,,,,,F,Am,Dm,C,C,,,F,,,Am,,F,Am,,,,C,C,,G,,,,,,,,Em,,C,,C,,,Em,,,G,G,,Dm,C,Em,D#,,
,,Em,,F,,Dm,,,,,,G,F,F,Dm,G,,,Dm,,,F,,Dm,F,,,,G,Am,,D,,,,,,,,Dm,,C,,Gm,,,D,,,C,Am,,C,F,G,Cm,,
,,F,,F,,F,,,,,,A7,C,Am,Am#,Am,,,G,,,G,,F,C,,,,,C,,Am,,,,,,,,C,,F,,Dm,,,C,,,Dm,Bb,,,C,C,D#,,
,,C,,Am,,C,,,,,,C,G,G,B,D,,,C,,,C,,C,G,,,,,F,,C,,,,,,,,Em,,Fm,,C,,,G,,,F,C,,,F,Am,A7,,
,,G,,C,,Am,,,,,,Dm,Am,Dm,Dm,C,,,F,,,C,,G,Am,,,,,C,,G,,,,,,,,Dm,,C,,C,,,D,,,G,F#,,,C,Em,F,,
,,C,,Dm,,Dm,,,,,,C,F,F,Am#,B,,,,,,G,,Dm,F,,,,,Am,,D,,,,,,,,Em,,F,,A7,,,C,,,C,C,,,F,G,Cm,,
,,C,,Am,,F,,,,,,F,C,Am,B,Em,,,,,,Am,,F,,,,,,F,,Am,,,,,,,,Dm,,Dm,,Dm,,,G,,,C,G,,,Dm,C,D#,,
,,G,,F,,C,,,,,,G,G,G,Am#,C,,,,,,F,,C,,,,,,C,,C,,,,,,,,C,,Am,,C,,,D,,,Dm,Dm,,,G,,A7,,
,,F,,Am,,C,,,,,,A7,Am,Dm,Dm,G,,,,,,G,,G,,,,,,F,,G,,,,,,,,Em,,F,,Gm,,,C,,,F,C,,,Am,,F,,
,,Am,,G,,,,,,,,C,F,C,Am#,Am,,,,,,C,,Dm,,,,,,C,,D,,,,,,,,Dm,,C,,Dm,,,F,,,G,G,,,C,,Cm,,
,,G,,C,,,,,,,,Dm,C,Am,B,B,,,,,,C,,F,,,,,,F,,Am,,,,,,,,Em,,C,,C,,,Em,,,C,Dm,,,F,,D#,,
,,C,,F,,,,,,,,C,G,F,Dm,C,,,,,,G,,Dm,,,,,,C,,C,,,,,,,,Dm,,C,,C,,,D,,,C,C,,,C,,Cm,,
,,G,,F,,,,,,,,F,Am,G,Dm,G,,,,,,Am,,F,,,,,,F,,G,,,,,,,,C,,F,,A7,,,C,,,Dm,G,,,F,,D#,,
,,F,,Am,,,,,,,,G,F,C,C#,Am,,,,,,F,,C,,,,,,C,,D,,,,,,,,Em,,Fm,,Dm,,,G,,,F,Dm,,,C,,A7,,
,,Am,,C,,,,,,,,A7,C,Am,C#,D,,,,,,G,,G,,,,,,F,,Am,,,,,,,,Dm,,C,,C,,,D,,,G,C,,,F,,F,,
,,G,,Dm,,,,,,,,C,G,F,C,C,,,,,,C,,Dm,,,,,,C,,C,,,,,,,,Em,,F,,Gm,,,C,,,C,G,,,C,,Cm,,
,,C,,Am,,,,,,,,Dm,Am,G,Dm,B,,,,,,C,,F,,,,,,F,,G,,,,,,,,Dm,,Dm,,Dm,,,G,,,C,Dm,,,F,,D#,,
,,G,,F,,,,,,,,C,F,C,Am#,Em,,,,,,G,,C,,,,,,C,,D,,,,,,,,C,,Am,,C,,,D,,,Dm,C,,,Dm,,A7,,
,,F,,Am,,,,,,,,F,C,Am,B,C,,,,,,Am,,G,,,,,,F,,Am,,,,,,,,Em,,F,,C,,,C,,,F,G,,,G,,F,,
,,Am,,G,,,,,,,,G,G,F,Dm,G,,,,,,F,,Dm,,,,,,C,,C,,,,,,,,Dm,,C,,A7,,,F,,,G,Dm,,,Am,,Cm,,
,,G,,C,,,,,,,,A7,Am,G,Am#,Am,,,,,,G,,F,,,,,,,,G,,,,,,,,Em,,C,,Dm,,,C,,,C,,,,C,,D#,,
